PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000590,UKPARL.2025.BTR,408308376.25,467576342.83,0.87,0.92,93213.7,101387.0,957
E14000590,UKPARL.2025.WTM,59176134.25,467576342.83,0.13,0.08,8173.3,101387.0,333
E14000591,UKPARL.2025.BEA,13762746.5,18292247.35,0.75,0.71,105315.67,148670.2,849
E14000591,UKPARL.2025.BWE,2807584.26,18292247.35,0.15,0.13,18873.14,148670.2,388
E14000591,UKPARL.2025.QPK,1704831.76,18292247.35,0.09,0.16,24481.39,148670.2,272
E14000592,UKPARL.2025.BEA,2740975.44,20789025.13,0.13,0.11,14794.93,136089.0,343
E14000592,UKPARL.2025.BWE,15879092.0,20789025.13,0.76,0.77,105306.17,136089.0,858
E14000592,UKPARL.2025.HAE,2156625.71,20789025.13,0.1,0.12,15987.9,136089.0,285
E14000593,UKPARL.2025.BAI,19348580.27,26139669.6,0.74,0.73,99903.52,136357.12,836
E14000593,UKPARL.2025.HAC,6782092.21,26139669.6,0.26,0.27,36453.6,136357.12,512
E14000594,UKPARL.2025.BAO,316159795.86,316716887.53,1.0,1.0,96902.3,97037.0,1146
E14000595,UKPARL.2025.BWT,272274698.84,1081630679.71,0.25,0.64,73405.62,114445.0,504
E14000595,UKPARL.2025.TIV,726687167.11,1081630679.71,0.67,0.31,35075.0,114445.0,792
E14000595,UKPARL.2025.WEL,82605939.02,1081630679.71,0.08,0.05,5964.38,114445.0,223
E14000596,UKPARL.2025.BIM,165561046.16,637316064.52,0.26,0.2,18081.0,88926.69,513
E14000596,UKPARL.2025.DNE,232936840.61,637316064.52,0.37,0.26,23390.0,88926.69,594
E14000596,UKPARL.2025.GAP,139946118.36,637316064.52,0.22,0.36,32269.0,88926.69,465
E14000596,UKPARL.2025.SCU,98859330.35,637316064.52,0.16,0.17,15186.69,88926.69,391
E14000597,UKPARL.2025.BKP,39741125.36,39760265.33,1.0,1.0,96740.0,96740.0,1197
E14000598,UKPARL.2025.BPV,28810436.92,29038007.16,0.99,0.99,111914.13,113515.0,1127
E14000599,UKPARL.2025.BNE,9105324.63,23709231.26,0.38,0.41,40983.0,100805.0,612
E14000599,UKPARL.2025.BSE,14602341.53,23709231.26,0.62,0.59,59822.0,100805.0,745
E14000600,UKPARL.2025.BNE,4278913.73,44143159.96,0.1,0.13,13324.0,106068.0,277
E14000600,UKPARL.2025.BNW,39861244.01,44143159.96,0.9,0.87,92744.0,106068.0,986
E14000601,UKPARL.2025.BSE,2294524.11,24577216.58,0.09,0.12,13226.65,113569.0,273
E14000601,UKPARL.2025.BSS,22280270.0,24577216.58,0.91,0.88,100342.35,113569.0,988
E14000602,UKPARL.2025.BNW,1427753.69,17240025.78,0.08,0.08,11925.56,142935.0,241
E14000602,UKPARL.2025.BSC,10783647.95,17240025.78,0.63,0.68,97124.03,142935.0,754
