Station name,Station code,Operator,PCON24CD,PCON24NM,Longitude,Latitude
Bingley,BIY,Northern Trains,E14001472,Shipley,-1.83732,53.84862
Birchgrove,BCG,TfW Rail,W07000090,Cardiff North,-3.20185,51.52156
Birchington-On-Sea,BCH,Southeastern,E14001282,Herne Bay and Sandwich,1.30141,51.37749
Birchwood,BWD,Northern Trains,E14001564,Warrington North,-2.52531,53.41272
Birkbeck,BIK,Govia Thameslink Railway (Southern),E14001083,Beckenham and Penge,-0.05574,51.40389
Birkdale,BDL,Merseyrail,E14001504,Southport,-3.01445,53.63405
Birkenhead Central,BKC,Merseyrail,E14001091,Birkenhead,-3.02082,53.38832
Birkenhead Hamilton Square,BKQ,Merseyrail,E14001091,Birkenhead,-3.01368,53.3947
Birkenhead North,BKN,Merseyrail,E14001091,Birkenhead,-3.05753,53.40444
Birkenhead Park,BKP,Merseyrail,E14001091,Birkenhead,-3.0391,53.39741
Birmingham International,BHI,Avanti West Coast,E14001358,Meriden and Solihull East,-1.72586,52.45081
Birmingham Moor Street,BMO,Chiltern Railways,E14001096,Birmingham Ladywood,-1.89247,52.47908
Birmingham New Street,BHM,Network Rail,E14001096,Birmingham Ladywood,-1.90021,52.47782
Birmingham Snow Hill,BSW,West Midlands Trains (West Midlands Railway),E14001096,Birmingham Ladywood,-1.89909,52.48336
Bishop Auckland,BIA,Northern Trains,E14001101,Bishop Auckland,-1.67772,54.6572
Bishopbriggs,BBG,ScotRail,S14000097,Mid Dunbartonshire,-4.22492,55.90388
Bishops Lydeard,BIB,West Somerset Railway,E14001548,Tiverton and Minehead,-3.1942,51.0541
Bishops Stortford,BIS,Greater Anglia,E14001283,Hertford and Stortford,0.16489,51.86669
Bishopstone (Sussex),BIP,Govia Thameslink Railway (Southern),E14001330,Lewes,0.08276,50.78014
Bishopton (Renfrewshire),BPT,ScotRail,S14000101,Paisley and Renfrewshire North,-4.50049,55.90227
Bitterne,BTE,South Western Railway,E14001499,Southampton Itchen,-1.377,50.91822
Blackburn,BBN,Northern Trains,E14001102,Blackburn,-2.47912,53.74652
Blackfriars,BFR,Govia Thameslink Railway (Thameslink),E14001172,Cities of London and Westminster,-0.10333,51.51181
Blackheath,BKH,Southeastern,E14001332,Lewisham North,0.00887,51.46579
Blackhorse Road,BHO,London Underground,E14001563,Walthamstow,-0.04124,51.5866
Blackpool North,BPN,Northern Trains,E14001105,Blackpool South,-3.04928,53.82192
Blackpool Pleasure Beach,BPB,Northern Trains,E14001105,Blackpool South,-3.05388,53.78796
Blackpool South,BPS,Northern Trains,E14001105,Blackpool South,-3.04894,53.7987
Blackridge,BKR,ScotRail,S14000068,Bathgate and Linlithgow,-3.7508,55.88426
Blackrod,BLK,Northern Trains,E14001112,Bolton West,-2.56952,53.59152
Blackwater,BAW,Great Western Railway,E14001063,Aldershot,-0.77674,51.33158
Blaenau Ffestiniog,BFF,TfW Rail,W07000096,Dwyfor Meirionnydd,-3.9386,52.99455
Blair Atholl,BLA,ScotRail,S14000065,Angus and Perthshire Glens,-3.85023,56.76555
Blairhill,BAI,ScotRail,S14000070,Coatbridge and Bellshill,-4.04329,55.86646
Blake Street,BKT,West Midlands Trains (West Midlands Railway),E14001535,Sutton Coldfield,-1.84491,52.60489
Blakedown,BKD,West Midlands Trains (West Midlands Railway),E14001601,Wyre Forest,-2.17687,52.4064
Blantyre,BLT,ScotRail,S14000104,Rutherglen,-4.08697,55.79733
Blaydon,BLO,Northern Trains,E14001106,Blaydon and Consett,-1.71258,54.96579
Bleasby,BSB,East Midlands Railway,E14001375,Newark,-0.94369,53.04136
Bletchley,BLY,West Midlands Trains (London Northwestern Railway),E14001141,Buckingham and Bletchley,-0.73632,51.99533
Bloxwich,BLX,West Midlands Trains (West Midlands Railway),E14001562,Walsall and Bloxwich,-2.01148,52.6182
Bloxwich North,BWN,West Midlands Trains (West Midlands Railway),E14001562,Walsall and Bloxwich,-2.01768,52.62544
Blundellsands and Crosby,BLN,Merseyrail,E14001463,Sefton Central,-3.03986,53.48769
Blythe Bridge,BYB,East Midlands Railway,E14001522,Stoke-on-Trent South,-2.06696,52.96814
Bodmin Parkway,BOD,Great Western Railway,E14001486,South East Cornwall,-4.66293,50.44587
Bodorgan,BOR,TfW Rail,W07000112,Ynys Môn,-4.418,53.20431
Bognor Regis,BOG,Govia Thameslink Railway (Southern),E14001108,Bognor Regis and Littlehampton,-0.67618,50.78656
Bogston,BGS,ScotRail,S14000093,Inverclyde and Renfrewshire West,-4.7114,55.93705
Bolton,BON,Northern Trains,E14001111,Bolton South and Walkden,-2.42582,53.57415
Bolton-Upon-Dearne,BTD,Northern Trains,E14001075,Barnsley South,-1.31155,53.51895
Bond Street,BDS,London Underground,E14001172,Cities of London and Westminster,-0.14961,51.5138
Bookham,BKA,South Western Railway,E14001201,Dorking and Horley,-0.38402,51.28874
Bootle (Cumbria),BOC,Northern Trains,E14001076,Barrow and Furness,-3.39386,54.29131
Bootle New Strand,BNW,Merseyrail,E14001113,Bootle,-2.99475,53.45339
