Time period,Station name,Scheduled stops,Recorded station stops,"Recorded station stops (percentage) [note 2]","Time to 3 (percentage) [note 3, 5]","Cancellations (percentage) [note 4, 5]"
Apr 2024 to Mar 2025 Period 11,Kew Bridge,2621,2534,99.9211,90.0158,3.2430
Apr 2024 to Mar 2025 Period 11,Kew Gardens,4039,3781,99.8679,86.6702,6.2639
Apr 2024 to Mar 2025 Period 11,Keyham,700,599,87.5731,88.3139,2.2857
Apr 2024 to Mar 2025 Period 11,Keynsham,1456,1428,100.0000,84.1036,1.9231
Apr 2024 to Mar 2025 Period 11,Kidbrooke,4926,4809,99.8961,78.6650,2.2737
Apr 2024 to Mar 2025 Period 11,Kidderminster,3176,3082,100.0000,89.1953,2.9597
Apr 2024 to Mar 2025 Period 11,Kidsgrove,2632,2488,100.0000,74.9196,5.4711
Apr 2024 to Mar 2025 Period 11,Kidwelly,751,700,94.9796,57.8571,1.8642
Apr 2024 to Mar 2025 Period 11,Kilburn High Road,4030,3901,99.8720,95.6421,3.0769
Apr 2024 to Mar 2025 Period 11,Kildale,221,112,51.8519,81.2500,2.2624
Apr 2024 to Mar 2025 Period 11,Kildonan,184,0,0.0000,[u],2.7174
Apr 2024 to Mar 2025 Period 11,Kilgetty,413,224,56.4232,60.2679,3.8741
Apr 2024 to Mar 2025 Period 11,Kilmarnock,1907,1862,100.0000,91.5682,2.3597
Apr 2024 to Mar 2025 Period 11,Kilmaurs,1572,0,0.0000,[u],2.8626
Apr 2024 to Mar 2025 Period 11,Kilpatrick,1638,967,60.2492,84.6949,2.0147
Apr 2024 to Mar 2025 Period 11,Kilwinning,3603,3564,100.0000,87.1493,1.0824
Apr 2024 to Mar 2025 Period 11,Kinbrace,162,0,0.0000,[u],3.0864
Apr 2024 to Mar 2025 Period 11,Kingham,1108,839,78.1192,73.6591,3.0686
Apr 2024 to Mar 2025 Period 11,Kinghorn,1692,1655,100.0000,87.0695,2.1868
Apr 2024 to Mar 2025 Period 11,Kings Langley,2136,2090,99.9522,82.8708,2.1067
Apr 2024 to Mar 2025 Period 11,Kings Lynn,1371,1292,100.0000,86.5325,5.7622
Apr 2024 to Mar 2025 Period 11,Kings Norton,3713,3659,100.0000,79.8579,1.4543
Apr 2024 to Mar 2025 Period 11,Kings Nympton,316,161,52.9605,73.9130,3.7975
Apr 2024 to Mar 2025 Period 11,Kings Park,1720,1197,70.0000,94.5698,0.5814
Apr 2024 to Mar 2025 Period 11,Kings Sutton,1098,1089,100.0000,86.5014,0.8197
Apr 2024 to Mar 2025 Period 11,Kingsknowe,922,451,49.6696,[u],1.5184
Apr 2024 to Mar 2025 Period 11,Kingston,3655,3422,100.0000,78.4044,6.3748
Apr 2024 to Mar 2025 Period 11,Kingswood,1807,865,50.8226,89.5954,5.8107
Apr 2024 to Mar 2025 Period 11,Kingussie,532,524,100.0000,62.2137,1.5038
Apr 2024 to Mar 2025 Period 11,Kintbury,1086,1055,99.9053,84.2654,2.7624
Apr 2024 to Mar 2025 Period 11,Kintore,1452,1403,99.2923,85.4597,2.6860
Apr 2024 to Mar 2025 Period 11,Kirby Cross,1084,1079,100.0000,99.1659,0.4613
Apr 2024 to Mar 2025 Period 11,Kirk Sandall,1330,1267,100.0000,76.0063,4.7368
Apr 2024 to Mar 2025 Period 11,Kirkby (Merseyside),3303,3145,99.8413,83.7520,4.6322
Apr 2024 to Mar 2025 Period 11,Kirkby Stephen,400,387,100.0000,84.7545,3.2500
Apr 2024 to Mar 2025 Period 11,Kirkby-in-Ashfield,1140,1123,99.9110,86.0196,1.4035
Apr 2024 to Mar 2025 Period 11,Kirkby-In-Furness,943,778,86.0619,82.7763,4.1357
Apr 2024 to Mar 2025 Period 11,Kirkcaldy,2891,2837,99.9648,87.4515,1.8333
Apr 2024 to Mar 2025 Period 11,Kirkconnel,405,302,75.8794,89.0728,1.7284
Apr 2024 to Mar 2025 Period 11,Kirkdale,6558,6246,99.8721,84.8063,4.6356
Apr 2024 to Mar 2025 Period 11,Kirkham and Wesham,3658,3427,100.0000,81.0913,6.3149
Apr 2024 to Mar 2025 Period 11,Kirkhill,1720,1707,99.8830,94.7862,0.6395
Apr 2024 to Mar 2025 Period 11,Kirknewton,943,929,100.0000,86.2217,1.4846
Apr 2024 to Mar 2025 Period 11,Kirkstall Forge,1749,1664,100.0000,83.5337,4.8599
Apr 2024 to Mar 2025 Period 11,Kirkwood,1498,1424,100.0000,78.0197,4.9399
Apr 2024 to Mar 2025 Period 11,Kirton Lindsey,30,30,100.0000,[u],[u]
Apr 2024 to Mar 2025 Period 11,Kiveton Bridge,1051,904,92.1509,82.1903,6.6603
Apr 2024 to Mar 2025 Period 11,Kiveton Park,1075,975,97.0149,81.1282,6.5116
Apr 2024 to Mar 2025 Period 11,Knaresborough,1750,1652,99.3385,68.0387,4.9714
Apr 2024 to Mar 2025 Period 11,Knebworth,1712,1636,99.6953,71.5770,4.1472
Apr 2024 to Mar 2025 Period 11,Knighton,218,207,100.0000,81.1594,5.0459
Apr 2024 to Mar 2025 Period 11,Knockholt,2044,2019,100.0000,75.6810,1.2231
Apr 2024 to Mar 2025 Period 11,Knottingley,1796,1679,100.0000,83.9786,6.5145
Apr 2024 to Mar 2025 Period 11,Knucklas,201,73,38.4211,[u],5.4726
Apr 2024 to Mar 2025 Period 11,Knutsford,1000,609,63.2399,74.0558,3.7000
Apr 2024 to Mar 2025 Period 11,Kyle Of Lochalsh,184,184,100.0000,86.9565,0.0000
Apr 2024 to Mar 2025 Period 11,Ladybank,1716,1692,100.0000,88.1797,1.3986
Apr 2024 to Mar 2025 Period 11,Ladywell,3587,3539,100.0000,84.0350,1.3382
Apr 2024 to Mar 2025 Period 11,Laindon,4340,4289,100.0000,94.4043,1.1751
Apr 2024 to Mar 2025 Period 11,Lairg,206,201,100.0000,48.7562,2.4272
Apr 2024 to Mar 2025 Period 11,Lake,1766,1747,99.7716,99.0841,0.8494
Apr 2024 to Mar 2025 Period 11,Lakenheath,36,0,0.0000,[u],[u]
Apr 2024 to Mar 2025 Period 11,Lamphey,410,178,45.4082,[u],4.3902
Apr 2024 to Mar 2025 Period 11,Lanark,1615,1551,100.0000,82.9142,3.9628
Apr 2024 to Mar 2025 Period 11,Lancaster,4652,4424,100.0000,62.2288,4.9011
Apr 2024 to Mar 2025 Period 11,Lancing,5183,5002,99.9600,82.9468,3.4536
Apr 2024 to Mar 2025 Period 11,Landywood,1792,1777,99.7194,94.6539,0.5580
Apr 2024 to Mar 2025 Period 11,Langbank,1581,1572,100.0000,96.1832,0.5693
Apr 2024 to Mar 2025 Period 11,Langho,919,626,70.8947,84.8243,3.9173
Apr 2024 to Mar 2025 Period 11,Langley (Berks),3803,3495,99.9142,82.0315,8.0200
Apr 2024 to Mar 2025 Period 11,Langley Green,1772,1718,99.8837,88.4750,2.9345
Apr 2024 to Mar 2025 Period 11,Langley Mill,1085,1019,99.9020,69.0873,5.9908
Apr 2024 to Mar 2025 Period 11,Langside,1670,1621,99.9383,94.6946,2.8743
Apr 2024 to Mar 2025 Period 11,Langwathby,374,301,82.9201,83.3887,2.9412
Apr 2024 to Mar 2025 Period 11,Langwith-Whaley Thorns,436,96,22.3776,[u],1.6055
Apr 2024 to Mar 2025 Period 11,Lapford,372,209,58.3799,55.9809,3.7634
Apr 2024 to Mar 2025 Period 11,Lapworth,1112,1075,100.0000,89.6744,3.3273
Apr 2024 to Mar 2025 Period 11,Larbert,3260,3212,99.9689,94.6451,1.4417
Apr 2024 to Mar 2025 Period 11,Largs,821,815,100.0000,85.3988,0.7308
Apr 2024 to Mar 2025 Period 11,Larkhall,1452,1400,100.0000,82.9286,3.5813
Apr 2024 to Mar 2025 Period 11,Laurencekirk,924,905,99.7795,79.0055,1.8398
Apr 2024 to Mar 2025 Period 11,Lawrence Hill,2734,2686,99.9628,89.2033,1.7191
Apr 2024 to Mar 2025 Period 11,Layton (Lancs),1106,1037,100.0000,80.3279,6.2387
Apr 2024 to Mar 2025 Period 11,Lazonby and Kirkoswald,374,300,82.6446,83.3333,2.9412
Apr 2024 to Mar 2025 Period 11,Lea Bridge,2447,2237,99.6881,97.5414,8.2959
Apr 2024 to Mar 2025 Period 11,Lea Green,2016,1898,99.9473,64.0148,5.8036
Apr 2024 to Mar 2025 Period 11,Lea Hall,1904,1878,100.0000,85.0905,1.3655
Apr 2024 to Mar 2025 Period 11,Leagrave,4152,3857,99.9482,84.9106,7.0568
Apr 2024 to Mar 2025 Period 11,Lealholm,267,167,64.2308,86.8263,2.6217
Apr 2024 to Mar 2025 Period 11,Leamington Spa,4392,4281,100.0000,83.5786,2.5273
Apr 2024 to Mar 2025 Period 11,Leasowe,3078,1451,49.6578,[u],5.0682
Apr 2024 to Mar 2025 Period 11,Leatherhead,4060,3979,100.0000,84.7952,1.9951
Apr 2024 to Mar 2025 Period 11,Ledbury,863,837,100.0000,82.4373,3.0127
Apr 2024 to Mar 2025 Period 11,Lee (London),4358,4283,100.0000,83.2127,1.7210
Apr 2024 to Mar 2025 Period 11,Leeds,27022,25856,100.0000,72.7065,4.3150
Apr 2024 to Mar 2025 Period 11,Leicester,6200,5965,99.9832,69.8575,3.7742
Apr 2024 to Mar 2025 Period 11,Leigh (Kent),1197,1172,99.8296,91.3823,1.9215
Apr 2024 to Mar 2025 Period 11,Leigh-On-Sea,6177,6119,100.0000,93.5284,0.9390
Apr 2024 to Mar 2025 Period 11,Leighton Buzzard,4005,3923,99.9745,82.7428,2.0225
Apr 2024 to Mar 2025 Period 11,Lelant,660,321,49.2331,[u],1.2121
Apr 2024 to Mar 2025 Period 11,Lelant Saltings,60,57,95.0000,100.0000,0.0000
Apr 2024 to Mar 2025 Period 11,Lenham,1525,1520,100.0000,79.4737,0.3279
Apr 2024 to Mar 2025 Period 11,Lenzie,2046,2027,100.0000,92.7479,0.9286
Apr 2024 to Mar 2025 Period 11,Leominster,1224,1177,100.0000,62.7018,3.8399
Apr 2024 to Mar 2025 Period 11,Letchworth Garden City,4053,3873,100.0000,69.9200,4.4412
Apr 2024 to Mar 2025 Period 11,Leuchars (For St. Andrews),1576,1378,88.5604,79.3179,1.2690
Apr 2024 to Mar 2025 Period 11,Leven,914,888,100.0000,89.0766,2.8446
Apr 2024 to Mar 2025 Period 11,Levenshulme,3328,2814,86.7715,84.0085,2.5541
Apr 2024 to Mar 2025 Period 11,Lewes,5819,5692,100.0000,85.6817,2.1825
Apr 2024 to Mar 2025 Period 11,Lewisham,12685,12489,99.9760,79.1897,1.5215
Apr 2024 to Mar 2025 Period 11,Leyland,2671,2519,100.0000,78.1659,5.6908
Apr 2024 to Mar 2025 Period 11,Leyton Midland Road,3806,3776,100.0000,95.9481,0.7882
Apr 2024 to Mar 2025 Period 11,Leytonstone High Road,3806,3776,100.0000,95.8951,0.7882
Apr 2024 to Mar 2025 Period 11,Lichfield City,1947,1850,100.0000,84.7568,4.9820
Apr 2024 to Mar 2025 Period 11,Lichfield Trent Valley,3136,2977,99.9329,69.7682,5.0064
Apr 2024 to Mar 2025 Period 11,Lidlington,816,809,99.7534,94.5612,0.6127
Apr 2024 to Mar 2025 Period 11,Limehouse,7986,7871,100.0000,89.8615,1.4400
Apr 2024 to Mar 2025 Period 11,Lincoln,3173,3085,100.0000,89.0762,2.7734
Apr 2024 to Mar 2025 Period 11,Lingfield,2028,1984,99.9496,95.0605,2.1203
Apr 2024 to Mar 2025 Period 11,Lingwood,907,905,100.0000,99.2265,0.2205
Apr 2024 to Mar 2025 Period 11,Linlithgow,3555,3475,100.0000,93.3525,2.2504
Apr 2024 to Mar 2025 Period 11,Liphook,1401,1345,98.7518,79.8513,2.7837
Apr 2024 to Mar 2025 Period 11,Liskeard,2562,2434,99.9589,85.3328,4.9571
Apr 2024 to Mar 2025 Period 11,Liss,1401,1369,99.9270,82.1768,2.2127
Apr 2024 to Mar 2025 Period 11,Lisvane and Thornhill,3964,3732,100.0000,85.7717,5.8527
Apr 2024 to Mar 2025 Period 11,Little Kimble,979,492,50.5653,97.7642,0.6129
Apr 2024 to Mar 2025 Period 11,Little Sutton,1968,897,50.1678,77.9264,9.1463
Apr 2024 to Mar 2025 Period 11,Littleborough,2060,1913,99.8956,74.2812,7.0388
Apr 2024 to Mar 2025 Period 11,Littlehampton,3306,3228,100.0000,84.2317,2.3593
Apr 2024 to Mar 2025 Period 11,Littlehaven,2162,2045,99.9511,76.9682,5.3654
Apr 2024 to Mar 2025 Period 11,Littleport,1371,1292,100.0000,83.0495,5.7622
Apr 2024 to Mar 2025 Period 11,Liverpool Central,15991,15056,100.0000,87.9915,5.8470
Apr 2024 to Mar 2025 Period 11,Liverpool James Street,11099,10468,99.9141,88.6607,5.6041
Apr 2024 to Mar 2025 Period 11,Liverpool Lime Street,17739,16770,99.9762,80.3041,5.4400
Apr 2024 to Mar 2025 Period 11,Liverpool South Parkway,9233,8618,99.9884,81.2834,6.6501
Apr 2024 to Mar 2025 Period 11,Livingston North,2214,2139,99.9533,89.9018,3.3424
Apr 2024 to Mar 2025 Period 11,Livingston South,1359,1343,99.9256,91.8094,1.1038
Apr 2024 to Mar 2025 Period 11,Llanaber,375,141,37.9032,[u],0.8000
Apr 2024 to Mar 2025 Period 11,Llanbedr,375,329,88.4409,89.0578,0.8000
Apr 2024 to Mar 2025 Period 11,Llanbister Road,201,32,16.8421,[u],5.4726
Apr 2024 to Mar 2025 Period 11,Llanbradach,2721,2153,82.7123,81.6071,4.3366
Apr 2024 to Mar 2025 Period 11,Llandaf,4791,4603,99.7616,86.6391,3.6944
Apr 2024 to Mar 2025 Period 11,Llandanwg,375,181,48.6559,[u],0.8000
Apr 2024 to Mar 2025 Period 11,Llandecwyn,375,64,17.2043,[u],0.8000
Apr 2024 to Mar 2025 Period 11,Llandeilo,208,199,100.0000,63.8191,4.3269
Apr 2024 to Mar 2025 Period 11,Llandovery,208,198,99.4975,60.6061,4.3269
Apr 2024 to Mar 2025 Period 11,Llandrindod,218,208,100.0000,70.6731,4.5872
Apr 2024 to Mar 2025 Period 11,Llandudno,1369,1307,100.0000,88.9824,4.5289
Apr 2024 to Mar 2025 Period 11,Llandudno Junction,2813,2699,100.0000,79.5480,4.0526
Apr 2024 to Mar 2025 Period 11,Llandybie,208,118,59.2965,54.2373,4.3269
Apr 2024 to Mar 2025 Period 11,Llanelli,1677,1622,99.9384,66.3379,3.2200
Apr 2024 to Mar 2025 Period 11,Llanfairfechan,673,430,65.3495,74.6512,2.2288
Apr 2024 to Mar 2025 Period 11,Llanfairpwll,745,452,63.4831,76.5487,4.4295
Apr 2024 to Mar 2025 Period 11,Llangadog,208,121,60.8040,57.8512,4.3269
Apr 2024 to Mar 2025 Period 11,Llangammarch,172,45,27.1084,[u],3.4884
Apr 2024 to Mar 2025 Period 11,Llangennech,208,89,44.7236,[u],4.3269
Apr 2024 to Mar 2025 Period 11,Llangynllo,201,32,16.8421,[u],5.4726
Apr 2024 to Mar 2025 Period 11,Llanharan,1489,1463,100.0000,66.3021,1.7461
Apr 2024 to Mar 2025 Period 11,Llanhilleth,1588,1495,99.7997,82.9431,5.6675
Apr 2024 to Mar 2025 Period 11,Llanishen,3964,3728,99.9732,85.6491,5.9284
Apr 2024 to Mar 2025 Period 11,Llanrwst,213,159,76.4423,37.1069,2.3474
Apr 2024 to Mar 2025 Period 11,Llansamlet,679,665,99.8498,60.7519,1.9146
Apr 2024 to Mar 2025 Period 11,Llantwit Major,909,903,99.8894,72.9790,0.5501
Apr 2024 to Mar 2025 Period 11,Llanwrda,208,108,54.2714,50.0000,4.3269
Apr 2024 to Mar 2025 Period 11,Llanwrtyd,172,166,100.0000,64.4578,3.4884
Apr 2024 to Mar 2025 Period 11,Llwyngwril,375,292,78.4946,78.4247,0.8000
Apr 2024 to Mar 2025 Period 11,Llwynypia,1647,1253,78.0199,86.1931,2.4894
Apr 2024 to Mar 2025 Period 11,Loch Awe,320,39,12.3028,[u],0.9375
Apr 2024 to Mar 2025 Period 11,Loch Eil Outward Bound,199,0,0.0000,[u],2.0101
Apr 2024 to Mar 2025 Period 11,Lochailort,198,0,0.0000,[u],2.0202
Apr 2024 to Mar 2025 Period 11,Locheilside,199,0,0.0000,[u],2.0101
Apr 2024 to Mar 2025 Period 11,Lochgelly,1003,978,99.8979,88.6503,2.3928
Apr 2024 to Mar 2025 Period 11,Lochluichart,184,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Lochwinnoch,1705,1688,100.0000,88.3886,0.9971
Apr 2024 to Mar 2025 Period 11,Lockerbie,971,893,100.0000,57.6708,8.0330
Apr 2024 to Mar 2025 Period 11,Lockwood,850,650,81.5558,85.3846,6.2353
Apr 2024 to Mar 2025 Period 11,London Blackfriars,15379,14655,100.0000,79.7339,4.7077
Apr 2024 to Mar 2025 Period 11,London Bridge,43689,42504,99.8426,79.4584,2.5590
Apr 2024 to Mar 2025 Period 11,London Cannon Street,8939,8741,100.0000,85.5509,2.2150
Apr 2024 to Mar 2025 Period 11,London Charing Cross,15576,15120,100.0000,78.6905,2.9276
Apr 2024 to Mar 2025 Period 11,London Euston,17222,16545,99.9879,75.4246,3.9194
Apr 2024 to Mar 2025 Period 11,London Fenchurch Street,8473,8366,100.0000,88.1066,1.2628
Apr 2024 to Mar 2025 Period 11,London Fields,4364,4284,99.9767,95.9617,1.8103
Apr 2024 to Mar 2025 Period 11,London Kings Cross,9142,8866,100.0000,75.4455,3.0190
Apr 2024 to Mar 2025 Period 11,London Liverpool Street,43360,41641,99.9976,91.8710,3.9622
Apr 2024 to Mar 2025 Period 11,London Marylebone,6935,6880,100.0000,92.7180,0.7931
Apr 2024 to Mar 2025 Period 11,London Paddington,31757,29980,100.0000,81.7578,5.5956
Apr 2024 to Mar 2025 Period 11,London Road (Brighton),2961,2891,99.8618,94.5694,2.2290
Apr 2024 to Mar 2025 Period 11,London Road (Guildford),2957,2875,99.7571,84.9391,2.5364
Apr 2024 to Mar 2025 Period 11,London St Pancras International,22667,21735,100.0000,78.4771,4.1117
Apr 2024 to Mar 2025 Period 11,London Victoria,29836,29177,100.0000,85.8793,2.2087
Apr 2024 to Mar 2025 Period 11,London Waterloo,31059,30337,100.0000,83.8514,2.3246
Apr 2024 to Mar 2025 Period 11,London Waterloo East,15552,15114,99.9603,79.3767,2.7778
Apr 2024 to Mar 2025 Period 11,Long Buckby,1926,1873,100.0000,81.3668,2.7518
Apr 2024 to Mar 2025 Period 11,Long Eaton,3760,3553,99.7193,70.9260,5.2394
Apr 2024 to Mar 2025 Period 11,Long Preston,734,628,88.5755,81.5287,3.4060
Apr 2024 to Mar 2025 Period 11,Longbeck,1697,1424,89.4472,89.4663,6.1874
Apr 2024 to Mar 2025 Period 11,Longbridge,3713,3649,100.0000,81.4744,1.7237
Apr 2024 to Mar 2025 Period 11,Longcross,1522,1482,99.7980,81.3765,2.4310
Apr 2024 to Mar 2025 Period 11,Longfield,1998,1961,99.6443,79.7042,1.5015
Apr 2024 to Mar 2025 Period 11,Longniddry,943,934,100.0000,92.0771,0.9544
Apr 2024 to Mar 2025 Period 11,Longport,1016,982,100.0000,65.1731,3.3465
Apr 2024 to Mar 2025 Period 11,Longton,828,756,96.3057,69.0476,5.1932
Apr 2024 to Mar 2025 Period 11,Looe,704,636,100.0000,99.5283,9.6591
Apr 2024 to Mar 2025 Period 11,Lostock,1767,1662,100.0000,60.8303,5.9423
Apr 2024 to Mar 2025 Period 11,Lostock Gralam,1000,593,61.7066,73.5245,3.9000
Apr 2024 to Mar 2025 Period 11,Lostock Hall,1015,979,99.8980,85.9040,3.4483
Apr 2024 to Mar 2025 Period 11,Lostwithiel,1288,1250,100.0000,82.0000,2.9503
Apr 2024 to Mar 2025 Period 11,Loughborough,3000,2889,99.6894,67.5666,3.4000
Apr 2024 to Mar 2025 Period 11,Loughborough Junction,3748,3541,99.9153,86.8964,5.4429
Apr 2024 to Mar 2025 Period 11,Low Moor,1930,1840,99.9457,69.8913,4.6114
Apr 2024 to Mar 2025 Period 11,Lowdham,1121,1068,98.7974,78.1835,3.5682
Apr 2024 to Mar 2025 Period 11,Lower Sydenham,3590,3528,99.9150,83.0499,1.6435
Apr 2024 to Mar 2025 Period 11,Lowestoft,1935,1930,100.0000,98.0829,0.2584
Apr 2024 to Mar 2025 Period 11,Ludlow,1448,731,52.4390,64.0219,3.7293
Apr 2024 to Mar 2025 Period 11,Luton,8182,7684,100.0000,80.2056,6.0865
Apr 2024 to Mar 2025 Period 11,Luton Airport Parkway,8024,7525,99.9336,77.5681,6.1565
Apr 2024 to Mar 2025 Period 11,Luxulyan,400,166,42.4552,[u],2.2500
Apr 2024 to Mar 2025 Period 11,Lydney,1101,1075,99.4450,69.6744,1.8165
Apr 2024 to Mar 2025 Period 11,Lye (West Midlands),1772,1715,99.8254,88.9796,3.0474
Apr 2024 to Mar 2025 Period 11,Lymington Pier,1745,1721,100.0000,98.7217,1.3754
Apr 2024 to Mar 2025 Period 11,Lymington Town,1745,1632,94.8286,99.1422,1.3754
Apr 2024 to Mar 2025 Period 11,Lympstone Commando,1448,659,47.0378,[u],3.2459
Apr 2024 to Mar 2025 Period 11,Lympstone Village,1912,1053,56.6738,88.5090,2.8243
Apr 2024 to Mar 2025 Period 11,Lytham,899,579,68.1176,84.6287,5.4505
Apr 2024 to Mar 2025 Period 11,Macclesfield,3336,3137,100.0000,65.6360,5.9652
Apr 2024 to Mar 2025 Period 11,Machynlleth,1184,1152,99.9133,85.8507,2.6182
Apr 2024 to Mar 2025 Period 11,Maesteg,898,862,100.0000,68.5615,4.0089
Apr 2024 to Mar 2025 Period 11,Maesteg (Ewenny Road),898,577,67.0930,62.9116,4.2316
Apr 2024 to Mar 2025 Period 11,Maghull,3252,1534,50.3116,79.9218,6.2423
Apr 2024 to Mar 2025 Period 11,Maghull North,3252,2949,97.8434,90.9461,7.3186
Apr 2024 to Mar 2025 Period 11,Maiden Newton,463,442,100.0000,81.9005,4.5356
Apr 2024 to Mar 2025 Period 11,Maidenhead,7409,6964,99.9856,80.7007,5.9927
Apr 2024 to Mar 2025 Period 11,Maidstone Barracks,1834,1801,99.9445,93.5036,1.7448
Apr 2024 to Mar 2025 Period 11,Maidstone East,2266,2253,100.0000,82.0240,0.5737
Apr 2024 to Mar 2025 Period 11,Maidstone West,1969,1944,100.0000,93.1070,1.2697
Apr 2024 to Mar 2025 Period 11,Malden Manor,1666,1625,99.9385,89.1692,2.4010
Apr 2024 to Mar 2025 Period 11,Mallaig,199,195,100.0000,92.3077,2.0101
Apr 2024 to Mar 2025 Period 11,Malton,1011,973,100.0000,84.6865,3.7587
Apr 2024 to Mar 2025 Period 11,Malvern Link,1405,1036,76.7976,80.8880,3.9858
Apr 2024 to Mar 2025 Period 11,Manchester Airport,7038,6485,100.0000,74.6492,7.8573
Apr 2024 to Mar 2025 Period 11,Manchester Oxford Road,9670,9172,100.0000,62.1348,5.1499
Apr 2024 to Mar 2025 Period 11,Manchester Piccadilly,25116,24062,100.0000,72.0929,4.1965
Apr 2024 to Mar 2025 Period 11,Manchester Victoria,10213,9643,100.0000,71.9071,5.5811
Apr 2024 to Mar 2025 Period 11,Manea,600,585,99.8294,78.2906,2.3333
Apr 2024 to Mar 2025 Period 11,Manningtree,4017,3970,100.0000,94.0050,1.1700
Apr 2024 to Mar 2025 Period 11,Manor Park,8258,7624,98.9487,87.0409,6.6965
Apr 2024 to Mar 2025 Period 11,Manor Road,3078,1460,49.9316,[u],5.0032
Apr 2024 to Mar 2025 Period 11,Manorbier,410,283,72.1939,70.3180,4.3902
Apr 2024 to Mar 2025 Period 11,Manors,1590,1532,99.8046,88.4465,3.4591
Apr 2024 to Mar 2025 Period 11,Mansfield,1140,1123,99.9110,86.7320,1.4035
Apr 2024 to Mar 2025 Period 11,Mansfield Woodhouse,1140,1121,100.0000,89.2953,1.6667
Apr 2024 to Mar 2025 Period 11,March,1470,1418,99.9295,76.0226,3.4694
Apr 2024 to Mar 2025 Period 11,Marden (Kent),2105,2083,99.9520,71.3394,0.9976
Apr 2024 to Mar 2025 Period 11,Margate,3122,3080,100.0000,81.8506,1.3453
Apr 2024 to Mar 2025 Period 11,Market Harborough,1852,1789,99.1136,66.0145,2.5378
Apr 2024 to Mar 2025 Period 11,Market Rasen,480,294,62.1564,80.2721,1.4583
Apr 2024 to Mar 2025 Period 11,Markinch,1745,1720,100.0000,85.5233,1.4327
Apr 2024 to Mar 2025 Period 11,Marks Tey,3237,3212,100.0000,95.7659,0.7723
Apr 2024 to Mar 2025 Period 11,Marlow,1296,1246,100.0000,96.7897,3.8580
Apr 2024 to Mar 2025 Period 11,Marple,1832,1782,99.8319,85.0730,2.5655
Apr 2024 to Mar 2025 Period 11,Marsden (Yorks),1048,1024,100.0000,61.3281,2.2901
Apr 2024 to Mar 2025 Period 11,Marsh Barton,1195,642,55.5844,82.8660,3.3473
Apr 2024 to Mar 2025 Period 11,Marske,1697,1410,88.5678,90.5674,6.1874
Apr 2024 to Mar 2025 Period 11,Marston Green,2044,2011,100.0000,83.1427,1.6145
Apr 2024 to Mar 2025 Period 11,Martin Mill,1220,559,46.3132,[u],1.0656
Apr 2024 to Mar 2025 Period 11,Martins Heron,2090,2034,99.9018,85.6441,2.5837
Apr 2024 to Mar 2025 Period 11,Marton,927,691,81.0082,72.9378,7.9827
Apr 2024 to Mar 2025 Period 11,Maryhill,1182,1136,100.0000,95.5986,3.8917
Apr 2024 to Mar 2025 Period 11,Maryland,8258,7586,98.4428,84.0891,6.6844
Apr 2024 to Mar 2025 Period 11,Maryport,957,922,99.8917,81.6703,3.5528
Apr 2024 to Mar 2025 Period 11,Matlock,963,934,100.0000,78.4797,3.0114
Apr 2024 to Mar 2025 Period 11,Matlock Bath,963,621,66.4882,79.5491,3.0114
Apr 2024 to Mar 2025 Period 11,Mauldeth Road,1769,1656,99.9396,68.2367,6.3313
Apr 2024 to Mar 2025 Period 11,Maxwell Park,1670,1615,99.2015,95.7895,2.5150
Apr 2024 to Mar 2025 Period 11,Maybole,569,84,15.1351,[u],2.4605
Apr 2024 to Mar 2025 Period 11,Maze Hill,4368,4064,99.9017,88.4596,6.8681
Apr 2024 to Mar 2025 Period 11,Meadowhall,7474,7042,99.9858,71.0736,5.7667
Apr 2024 to Mar 2025 Period 11,Meldreth,1347,1298,100.0000,67.1032,3.6377
Apr 2024 to Mar 2025 Period 11,Melksham,164,96,59.6273,83.3333,1.8293
Apr 2024 to Mar 2025 Period 11,Melton (Suffolk),891,434,48.9290,[u],0.4489
Apr 2024 to Mar 2025 Period 11,Melton Mowbray,950,814,93.0286,70.7617,7.8947
Apr 2024 to Mar 2025 Period 11,Menheniot,448,397,91.6859,85.3904,3.3482
Apr 2024 to Mar 2025 Period 11,Menston,3186,3024,100.0000,85.1852,5.0847
Apr 2024 to Mar 2025 Period 11,Meols,3078,1462,50.0171,94.3228,5.0357
Apr 2024 to Mar 2025 Period 11,Meols Cop,1592,1035,68.7708,90.5314,5.4648
Apr 2024 to Mar 2025 Period 11,Meopham,1978,1947,100.0000,80.2260,1.5672
Apr 2024 to Mar 2025 Period 11,Meridian Water,1655,1515,100.0000,97.2937,8.4592
Apr 2024 to Mar 2025 Period 11,Merryton,1452,1400,100.0000,84.0714,3.5813
Apr 2024 to Mar 2025 Period 11,Merstham,3903,3704,100.0000,80.7235,5.0986
Apr 2024 to Mar 2025 Period 11,Merthyr Tydfil,1681,1580,100.0000,96.8354,6.0083
Apr 2024 to Mar 2025 Period 11,Merthyr Vale,1692,1596,99.6877,93.7970,5.3783
Apr 2024 to Mar 2025 Period 11,Metheringham,648,646,100.0000,86.0681,0.3086
Apr 2024 to Mar 2025 Period 11,MetroCentre,2407,2241,100.0000,85.3637,6.8966
