const_id,const_name,2023,GE 2019,2019 party,2019 MP,2019 electorate,2019 turnout,Pre GE 2019,GE 2017,2017 turnout,GE 2015
S14000031,Glasgow North,SNP,SNP,Scottish National Party (SNP),Patrick Grady,57130,63.3,SNP,SNP,62.3,SNP
S14000032,Glasgow North East,SNP,SNP,Scottish National Party (SNP),Anne McLaughlin,61075,55.5,Lab,Lab,53.1,SNP
S14000033,Glasgow North West,SNP,SNP,Scottish National Party (SNP),Carol Monaghan,63402,62.7,SNP,SNP,61,SNP
S14000034,Glasgow South,SNP,SNP,Scottish National Party (SNP),Stewart McDonald,70891,66.9,SNP,SNP,64.6,SNP
S14000035,Glasgow South West,SNP,SNP,Scottish National Party (SNP),Chris Stephens,64575,57.1,SNP,SNP,56.3,SNP
S14000036,Glenrothes,SNP,SNP,Scottish National Party (SNP),Peter Grant,65762,63.2,SNP,SNP,60.9,SNP
S14000037,Gordon,SNP,SNP,Scottish National Party (SNP),Richard Gordon Thomson,79629,70.2,Con,Con,68.4,SNP
S14000038,Inverclyde,SNP,SNP,Scottish National Party (SNP),Ronnie Cowan,60622,65.8,SNP,SNP,66.5,SNP
S14000039,"Inverness, Nairn, Badenoch and Strathspey",SNP,SNP,Scottish National Party (SNP),Drew Hendry,78057,70.2,SNP,SNP,68.8,SNP
S14000040,Kilmarnock and Loudoun,SNP,SNP,Scottish National Party (SNP),Alan Brown,74517,63.9,SNP,SNP,63.5,SNP
S14000041,Kirkcaldy and Cowdenbeath,SNP,SNP,Scottish National Party (SNP),Neale Hanvey,72853,64.5,Lab,Lab,63.6,SNP
S14000042,Lanark and Hamilton East,SNP,SNP,Scottish National Party (SNP),Angela Crawley,77659,68.3,SNP,SNP,65.4,SNP
S14000043,Linlithgow and East Falkirk,SNP,SNP,Scottish National Party (SNP),Martyn Day,87044,66.4,SNP,SNP,65.2,SNP
S14000044,Livingston,SNP,SNP,Scottish National Party (SNP),Hannah Bardell,82285,66.3,SNP,SNP,64.8,SNP
S14000045,Midlothian,SNP,SNP,Scottish National Party (SNP),Owen Thompson,70544,68.4,Lab,Lab,66.4,SNP
S14000046,Moray,Con,Con,Conservative and Unionist Party,Douglas Ross,71035,68.7,Con,Con,67.5,SNP
S14000047,Motherwell and Wishaw,SNP,SNP,Scottish National Party (SNP),Marion Fellows,68856,64.5,SNP,SNP,61.5,SNP
S14000048,North Ayrshire and Arran,SNP,SNP,Scottish National Party (SNP),Patricia Gibson,73534,64.1,SNP,SNP,64.9,SNP
