Pcon,Constituency name,MP name,Party name,Emissions from homes (%),EPC band DEFG (%),Fuel poor hhlds (UK Gov data) (%),Air pollution: LSOAs above WHO (%),Air pollution: LSOAs twice WHO (%),Air pollution: LSOAs above WHO (number),Air pollution: LSOAs twice WHO (number),Respiratory disease (%),Bustrips: 2010 to 2023 change (%),Car ownership: households without cars/vans (%),EV chargers: current number,EV chargers: target,Commuters: bicycle (%),Commuters: potential bikes/ebikes (%),Greenspace: m2 per person,Flooding: Properties at risk from rivers or seas,Flooding: Properties at risk from surface water,High heat and enhanced risk: MSOAs (number),High heat and enhanced risk: MSOA (%),High heat and enhanced risk: population,High heat 2022 max temp (°C),Tree canopy (%),Sewage overflows: number of outflows,Sewage overflows: total spills,Sewage overflows: total spill duration hours,Opinion poll: Climate change should a high priority,Opinion poll: Government should go faster on climate change,Opinion poll: Support onshore wind in local area,Opinion poll: Nature is most important issue,Green economy: jobs FTE
E14001279,Hendon,David Pinto-Duschinsky,Lab,40.7,41.3,9.9,100.0,4.3,69,3,5.1,43.1,33.1,159,577,0.6,21.4,19,3444,13018,10,76.9,99503,40,17.7,7,107,465,58.0,59.1,64.6,71.0,799
E14001280,Henley and Thame,Freddie Van Mierlo,LD,24.6,56.0,10.4,100.0,0.0,60,0,8.2,-8.2,9.6,84,425,2.3,21.6,174,2679,5012,0,0.0,0,39,17.4,17,1093,16762,58.0,56.1,68.6,79.0,970
E14001281,Hereford and South Herefordshire,Jesse Norman,Con,18.0,58.4,16.9,88.1,0.0,52,0,9.0,-62.5,17.9,67,427,3.6,24.7,264,3458,8079,2,18.2,18846,36,15.8,26,910,6126,53.0,50.6,67.0,72.0,949
E14001282,Herne Bay and Sandwich,Roger Gale,Con,30.1,55.9,11.4,100.0,0.0,58,0,9.8,-16.3,17.2,51,437,1.2,25.0,60,5055,7555,2,15.4,16633,38,8.2,8,94,794,52.0,50.6,70.2,71.9,666
E14001283,Hertford and Stortford,Joshua Robert Abraham Dean,Lab,29.8,47.1,7.1,100.0,0.0,64,0,8.0,-33.1,14.3,114,471,1.0,17.9,37,4163,9184,0,0.0,0,40,13.9,4,64,396,56.0,55.6,68.2,74.0,1118
E14001284,Hertsmere,Oliver Dowden,Con,23.6,51.8,8.1,100.0,0.0,62,0,7.1,-33.4,15.3,139,469,0.7,20.1,53,1088,10435,1,7.7,10214,40,18.3,2,18,43,54.0,52.8,67.6,72.9,1312
E14001285,Hexham,Joe Morris,Lab,23.6,59.0,10.8,45.6,0.0,26,0,9.8,-49.1,15.1,224,417,0.6,21.3,10581,3886,7041,0,0.0,0,37,14.1,123,3939,27342,55.0,58.9,69.9,73.7,803
E14001286,Heywood and Middleton North,Elsie Blundell,Lab,28.5,49.9,12.3,100.0,0.0,61,0,10.1,-14.9,26.1,55,446,0.6,25.6,114,657,4774,0,0.0,0,37,10.0,30,973,4548,50.0,51.2,69.0,69.8,774
E14001287,High Peak,Jon Pearce,Lab,4.2,58.2,12.2,100.0,0.0,59,0,10.5,-63.5,16.9,64,400,0.9,16.8,2713,2954,5082,0,0.0,0,37,8.9,49,1953,12872,55.0,56.0,72.1,75.0,1324
E14001288,Hinckley and Bosworth,Luke Evans,Con,20.1,54.9,9.8,100.0,0.0,58,0,9.5,-65.5,12.9,77,437,1.6,22.2,35,238,5245,1,9.1,9114,39,7.3,55,1403,10477,51.0,48.7,67.7,74.0,1972
E14001289,Hitchin,Alistair Strathern,Lab,24.6,42.8,8.0,100.0,0.0,55,0,8.3,-33.7,12.0,44,443,1.3,19.5,37,1334,9122,0,0.0,0,40,10.0,11,219,2098,57.0,57.7,70.9,75.7,886
E14001290,Holborn and St Pancras,Keir Starmer,Lab,21.7,40.1,9.0,100.0,100.0,64,64,5.1,-23.0,70.3,312,489,4.3,35.4,7,0,30649,14,100.0,111493,40,15.3,0,0,0,62.0,68.7,69.6,74.0,4292
E14001291,Honiton and Sidmouth,Richard Foord,LD,17.7,57.9,10.5,17.3,0.0,9,0,10.7,-27.6,13.1,139,408,1.2,17.6,164,4625,5817,0,0.0,0,33,18.1,74,3661,45147,52.0,51.3,67.8,74.4,775
E14001292,Hornchurch and Upminster,Julia Lopez,Con,30.7,62.5,8.1,100.0,0.0,63,0,7.0,35.7,20.4,40,473,0.5,22.6,51,429,9075,2,15.4,18743,39,15.6,1,46,491,50.0,51.1,66.0,70.0,695
E14001293,Hornsey and Friern Barnet,Catherine West,Lab,42.6,58.2,8.1,100.0,18.0,61,11,5.9,-2.1,43.4,173,445,4.2,26.1,23,143,12060,7,50.0,54130,40,24.2,1,1,2,64.0,70.7,74.1,74.7,577
E14001294,Horsham,John Milne,LD,30.7,47.6,7.9,100.0,0.0,64,0,8.1,-18.2,12.0,141,464,1.4,18.8,59,336,6073,1,9.1,11285,38,19.5,16,801,8806,56.0,54.9,67.6,76.1,1026
E14001295,Houghton and Sunderland South,Bridget Phillipson,Lab,29.5,49.2,10.3,100.0,0.0,65,0,10.3,-44.6,28.4,27,444,0.6,26.4,41,363,5885,0,0.0,0,37,9.9,32,641,2265,48.0,51.5,67.9,70.0,1245
E14001296,Hove and Portslade,Peter Kyle,Lab,37.5,58.9,10.8,100.0,0.0,63,0,7.5,-34.3,33.6,196,448,3.7,25.4,19,170,10176,6,46.2,48024,34,10.9,0,0,0,61.0,64.9,70.8,76.0,1263
E14001297,Huddersfield,Harpreet Uppal,Lab,31.0,63.4,18.3,100.0,1.5,67,1,8.9,-21.9,31.4,33,503,0.5,19.7,19,5081,4505,11,68.8,77698,39,4.8,63,1749,6013,53.0,56.4,68.6,69.5,891
E14001298,Huntingdon,Ben Obese-Jecty,Con,12.0,50.6,8.6,100.0,0.0,66,0,9.4,-29.7,13.5,129,484,2.8,22.1,72,9412,14895,0,0.0,0,40,6.6,32,1486,20066,54.0,53.7,69.0,73.0,1291
E14001299,Hyndburn,Sarah Smith,Lab,24.6,68.6,15.1,100.0,0.0,61,0,10.3,-67.3,24.8,64,418,0.7,23.0,94,1977,4773,2,20.0,12627,37,8.1,28,744,2074,50.0,50.3,66.1,70.0,847
E14001300,Ilford North,Wes Streeting,Lab,42.9,63.4,11.0,100.0,1.6,63,1,5.8,1.8,24.6,99,529,0.5,23.4,54,757,7564,6,46.2,47319,40,14.6,2,25,38,57.0,59.1,66.5,70.8,619
E14001301,Ilford South,Jas Athwal,Lab,40.7,57.1,13.0,100.0,13.8,65,9,5.4,41.4,32.6,122,577,0.5,23.7,8,2167,7442,11,84.6,101476,40,9.6,3,59,253,57.0,64.3,71.5,69.7,645
E14001302,Ipswich,Jack Abbott,Lab,32.6,51.8,11.7,100.0,0.0,70,0,8.2,-8.3,26.0,124,503,3.2,32.2,30,3517,17019,4,30.8,40131,37,13.0,5,43,57,53.0,54.0,66.5,71.0,1490
E14001303,Isle of Wight East,Joe Robertson,Con,33.8,60.8,13.1,100.0,0.0,45,0,11.0,4.8,22.8,60,307,1.2,23.1,93,1654,3477,0,0.0,0,32,17.4,30,703,5042,53.0,47.9,67.3,72.0,555
E14001304,Isle of Wight West,Richard Quigley,Lab,33.5,54.3,12.7,100.0,0.0,44,0,10.6,-8.2,18.7,52,312,2.4,23.1,204,1641,4065,0,0.0,0,33,14.5,37,1213,10366,53.0,52.9,69.7,72.0,542
E14001305,Islington North,Jeremy Corbyn,Ind,32.2,45.3,8.1,100.0,100.0,65,65,6.3,-5.8,64.1,341,482,6.9,38.4,3,0,23501,11,91.7,96913,40,20.5,0,0,0,65.0,73.5,65.8,77.0,2980
E14001306,Islington South and Finsbury,Emily Thornberry,Lab,32.6,37.6,7.2,100.0,100.0,67,67,5.9,-12.2,69.3,370,521,5.9,38.5,3,0,22670,12,100.0,117699,40,16.9,0,0,0,62.0,70.3,63.7,74.9,2918
E14001307,Jarrow and Gateshead East,Kate Osborne,Lab,33.9,53.5,10.3,100.0,0.0,63,0,10.8,-32.4,34.0,51,412,1.3,26.6,46,60,5295,0,0.0,0,37,10.1,44,1138,7587,50.0,55.7,69.9,70.0,718
E14001308,Keighley and Ilkley,Robbie Moore,Con,33.1,66.1,14.4,100.0,0.0,60,0,10.4,-22.7,22.7,58,442,0.5,21.8,444,3082,7773,5,41.7,42677,38,5.3,57,1935,9774,54.0,56.2,69.1,71.0,836
E14001309,Kenilworth and Southam,Jeremy Wright,Con,15.8,52.9,13.8,100.0,0.0,56,0,8.5,-54.5,9.4,148,429,1.3,23.7,59,1463,7212,0,0.0,0,39,10.6,49,2544,31148,57.0,54.7,68.6,75.9,1805
E14001310,Kensington and Bayswater,Joe Powell,Lab,27.3,51.1,9.3,100.0,100.0,91,91,4.3,-14.4,61.2,1060,594,3.4,36.6,5,0,64678,15,79.0,107955,40,14.3,0,0,0,61.0,64.2,67.3,74.8,4326
E14001311,Kettering,Rosie Wrighting,Lab,21.5,49.5,10.4,100.0,0.0,63,0,9.1,-51.3,15.8,149,491,1.2,23.4,23,304,5209,3,25.0,30565,40,8.1,36,1520,14382,51.0,52.5,68.4,72.0,1081
E14001312,Kingston and Surbiton,Ed Davey,LD,35.3,57.1,8.5,100.0,0.0,66,0,6.4,37.7,27.0,276,509,2.7,26.4,18,7014,9473,5,35.7,44124,40,14.6,4,35,205,61.0,61.3,68.1,75.1,760
E14001313,Kingston upon Hull East,Karl Turner,Lab,28.6,52.9,16.6,100.0,0.0,67,0,10.0,-53.9,33.3,20,453,5.0,42.5,21,41450,7148,0,0.0,0,38,8.2,1,194,2499,47.0,49.4,64.6,68.0,1078
E14001314,Kingston upon Hull North and Cottingham,Diana Johnson,Lab,24.5,58.0,17.7,100.0,0.0,73,0,9.1,-55.2,32.3,94,517,4.3,39.7,16,52624,7461,0,0.0,0,38,11.8,2,30,24,50.0,53.8,69.9,68.8,1146
E14001315,Kingston upon Hull West and Haltemprice,Emma Hardy,Lab,21.7,57.7,15.7,100.0,0.0,66,0,9.2,-69.4,29.5,98,464,3.9,37.1,17,39659,9094,0,0.0,0,38,12.7,2,56,102,49.0,53.3,68.5,68.6,993
E14001316,Kingswinford and South Staffordshire,Mike Wood,Con,20.0,62.2,12.3,100.0,0.0,58,0,8.8,-55.5,12.5,31,390,0.7,22.1,62,774,5044,0,0.0,0,37,16.2,28,490,2325,50.0,48.7,69.5,71.6,708
E14001317,Knowsley,Anneliese Midgley,Lab,21.6,35.2,11.0,100.0,0.0,60,0,10.9,-21.5,33.7,49,420,0.9,28.0,25,231,5770,8,72.7,67642,37,16.6,3,117,265,54.0,60.9,71.9,72.0,806
E14001318,Lancaster and Wyre,Cat Smith,Lab,17.5,55.7,13.4,96.3,0.0,52,0,8.5,-4.7,21.2,140,437,2.3,29.0,619,15334,7103,1,9.1,8283,36,6.3,25,847,5747,54.0,55.8,70.7,71.7,1061
E14001319,Leeds Central and Headingley,Alex Sobel,Lab,25.4,51.3,21.7,100.0,10.0,60,6,5.4,-32.7,42.0,124,475,1.6,24.5,14,4326,11591,7,58.3,63528,39,18.2,37,1015,2230,56.0,67.1,65.3,70.2,1401
E14001320,Leeds East,Richard Burgon,Lab,25.3,56.7,14.9,100.0,0.0,67,0,8.8,-24.1,31.1,84,502,0.8,24.5,22,701,7375,8,53.3,57436,39,9.4,19,509,1393,50.0,54.3,66.7,68.9,1618
E14001321,Leeds North East,Fabian Hamilton,Lab,25.4,63.2,12.2,100.0,0.0,58,0,7.4,-30.1,23.5,14,430,1.5,24.5,28,609,4858,3,23.1,23550,39,20.4,24,677,1545,60.0,63.4,73.2,74.0,1401
E14001322,Leeds North West,Katie White,Lab,25.5,61.2,10.1,100.0,0.0,56,0,8.6,-25.7,16.3,40,416,1.1,24.5,78,1513,6802,0,0.0,0,38,12.3,32,935,4290,57.0,59.4,71.2,74.1,1376
E14001323,Leeds South,Hilary Benn,Lab,25.5,47.1,16.1,100.0,9.5,74,7,8.2,-25.9,44.9,209,557,1.1,24.5,48,9088,10751,14,87.5,109135,39,11.5,30,803,3822,54.0,62.5,65.8,67.1,1835
E14001324,Leeds South West and Morley,Mark Sewards,Lab,25.4,55.7,11.0,100.0,0.0,59,0,9.4,-23.2,22.0,142,424,0.8,24.5,20,266,4560,2,15.4,13248,39,10.0,20,428,943,51.0,53.6,69.2,71.7,1401
E14001325,Leeds West and Pudsey,Rachel Reeves,Lab,25.4,59.7,13.2,100.0,0.0,60,0,9.1,-39.0,28.7,44,433,1.2,24.5,21,515,6007,6,46.2,47319,39,9.5,35,984,3627,53.0,56.4,65.8,73.0,1473
E14001326,Leicester East,Shivani Raja,Con,28.7,60.4,13.2,100.0,0.0,65,0,6.4,-19.4,28.8,29,547,1.3,35.0,15,8105,11649,9,69.2,95083,40,11.3,4,56,120,53.0,56.6,65.5,69.0,1157
E14001327,Leicester South,Shockat Adam,Ind,28.7,60.4,15.9,100.0,9.2,65,6,5.9,-27.4,37.1,78,529,1.9,35.0,16,3329,14117,10,83.3,103219,40,14.9,10,144,583,57.0,63.2,66.4,70.9,1174
E14001328,Leicester West,Liz Kendall,Lab,28.6,59.5,14.2,100.0,0.0,70,0,7.1,-35.9,33.1,88,561,3.0,35.0,36,5170,11115,9,69.2,86800,40,15.7,11,211,1068,51.0,55.6,63.1,70.1,1246
E14001329,Leigh and Atherton,Jo Platt,Lab,30.9,52.4,12.3,100.0,0.0,62,0,10.0,-34.9,22.4,49,482,1.0,26.1,61,3867,8188,1,7.7,7359,38,12.4,33,665,2949,50.0,52.0,66.7,71.3,661
E14001330,Lewes,James MacCleary,LD,32.6,57.2,10.8,100.0,0.0,60,0,9.6,-30.9,18.1,121,424,1.2,16.5,333,5559,4432,1,8.3,6486,37,13.6,27,1242,12750,57.0,56.1,71.0,75.8,755
E14001331,Lewisham East,Janet Daby,Lab,43.8,57.8,11.5,100.0,0.0,68,0,7.2,31.4,41.2,83,512,1.6,26.8,21,2914,12619,15,100.0,118575,40,13.7,0,0,0,59.0,67.6,68.5,73.9,410
E14001332,Lewisham North,Vicky Foxcroft,Lab,43.6,39.4,8.1,100.0,65.7,67,44,5.8,21.0,56.6,100,514,3.4,26.8,13,17006,18437,14,100.0,119052,40,16.6,1,9,12,62.0,73.3,69.7,74.0,404
E14001333,Lewisham West and East Dulwich,Ellie Reeves,Lab,39.1,61.3,8.7,100.0,5.4,56,3,6.9,22.0,42.2,431,435,4.1,29.4,15,84,11765,10,83.3,82985,40,16.8,0,0,0,61.0,71.9,70.2,73.8,871
E14001334,Leyton and Wanstead,Calvin Bailey,Lab,42.1,59.8,11.8,100.0,57.6,66,38,5.6,37.1,42.1,560,513,1.8,24.6,35,269,10433,9,69.2,89659,40,20.0,14,184,302,60.0,67.0,68.4,71.1,642
E14001335,Lichfield,Dave Robertson,Lab,20.1,50.0,12.7,100.0,0.0,57,0,9.0,-47.8,12.9,43,433,0.9,21.0,85,915,5907,2,18.2,16452,38,9.0,24,803,8034,52.0,51.7,67.7,74.0,961
E14001336,Lincoln,Hamish Falconer,Lab,28.2,53.3,12.6,100.0,0.0,67,0,8.4,-6.5,26.4,147,514,3.9,33.1,37,15062,12680,7,58.3,61001,40,11.9,8,102,1084,53.0,54.8,67.1,71.0,1426
E14001337,Liverpool Garston,Maria Eagle,Lab,29.6,50.0,10.6,100.0,0.0,59,0,9.9,-32.5,28.8,80,418,1.3,32.7,34,374,7437,6,46.2,45549,37,14.4,5,164,1358,56.0,64.8,72.2,73.2,920
E14001338,Liverpool Riverside,Kim Johnson,Lab,29.8,35.2,15.5,100.0,0.0,65,0,8.1,-36.5,54.9,161,538,0.9,32.7,16,2554,13985,16,100.0,137019,37,6.4,2,35,18,60.0,65.7,66.7,70.5,1028
E14001339,Liverpool Walton,Dan Carden,Lab,29.6,54.2,14.8,100.0,0.0,68,0,10.4,-28.9,36.9,110,445,0.9,32.5,24,298,9832,10,83.3,75845,37,10.8,3,72,450,55.0,62.5,69.9,72.7,1011
E14001340,Liverpool Wavertree,Paula Barker,Lab,29.8,58.3,17.6,100.0,0.0,64,0,8.3,-35.9,37.9,184,469,1.6,32.7,36,6,7273,6,54.6,54608,37,15.7,1,8,10,60.0,67.1,71.3,72.5,982
E14001341,Liverpool West Derby,Ian Byrne,Lab,27.8,55.6,14.7,100.0,0.0,64,0,10.3,-29.6,35.6,91,433,0.8,31.8,26,420,10119,9,75.0,66522,37,11.8,1,23,13,55.0,64.8,72.7,73.0,957
E14001342,Loughborough,Jeevun Sandher,Lab,24.5,50.4,11.0,100.0,0.0,56,0,7.6,-48.7,18.3,98,446,2.9,27.1,28,6727,11048,1,8.3,12657,40,11.3,23,603,4326,56.0,54.9,67.8,72.0,821
E14001343,Louth and Horncastle,Victoria Atkins,Con,16.4,60.9,14.2,100.0,0.0,54,0,11.7,-16.0,14.2,49,432,2.2,25.4,137,24274,9082,0,0.0,0,40,6.2,41,1149,11417,48.0,46.0,67.8,73.0,734
E14001344,Lowestoft,Jess Asato,Lab,24.5,56.6,12.6,100.0,0.0,60,0,11.0,-49.0,21.1,61,415,4.0,27.2,49,4077,5995,0,0.0,0,37,13.0,10,201,515,51.0,49.7,67.2,71.0,980
E14001345,Luton North,Sarah Owen,Lab,26.7,58.5,10.6,100.0,0.0,66,0,7.5,-42.9,18.5,18,509,0.9,26.1,11,1117,10183,7,63.6,71432,39,7.4,1,7,7,54.0,59.4,66.2,70.8,1019
E14001346,Luton South and South Bedfordshire,Rachel Hopkins,Lab,26.2,56.5,13.2,100.0,0.0,68,0,6.7,-24.7,28.6,111,553,0.7,25.2,45,676,9427,8,61.5,87322,39,10.0,21,122,187,53.0,57.7,67.7,67.4,1030
E14001347,Macclesfield,Tim Roca,Lab,19.2,59.2,9.6,100.0,0.0,61,0,8.9,-48.5,15.0,38,423,1.3,24.2,251,1461,7222,1,7.7,6205,38,15.5,18,646,3269,55.0,56.5,70.7,75.0,1167
E14001348,Maidenhead,Joshua Reynolds,LD,29.4,50.3,8.0,100.0,0.0,64,0,7.2,-56.3,10.9,73,467,1.3,23.8,87,8185,5216,1,8.3,13063,38,25.2,5,76,843,57.0,57.0,68.2,76.8,1595
E14001349,Maidstone and Malling,Helen Grant,Con,23.7,43.2,8.5,100.0,0.0,59,0,7.5,-39.1,16.5,76,486,1.1,19.4,18,2853,5766,2,20.0,24655,39,15.4,15,74,188,53.0,51.7,66.1,73.3,1231
E14001350,Makerfield,Josh Simons,Lab,30.8,57.4,10.6,100.0,0.0,63,0,10.3,-37.3,18.3,33,456,1.0,26.1,40,2581,6170,1,9.1,9222,37,12.1,48,1195,7727,50.0,50.8,68.6,71.0,650
E14001351,Maldon,John Whittingdale,Con,23.3,57.1,8.6,100.0,0.0,63,0,8.8,-13.7,11.3,29,445,1.1,20.4,177,8058,9735,0,0.0,0,39,9.8,23,414,3488,52.0,47.4,67.3,73.1,885
E14001352,Manchester Central,Lucy Powell,Lab,24.7,29.7,11.6,100.0,26.1,69,18,7.1,-32.9,46.1,316,564,1.4,33.4,15,7560,16056,13,81.3,111394,38,9.8,46,510,976,55.0,63.0,64.0,68.2,1765
E14001353,Manchester Rusholme,Afzal Khan,Lab,23.4,41.3,15.5,100.0,3.8,53,2,6.1,-28.3,46.4,43,507,2.7,34.5,11,5086,17811,9,90.0,96853,38,9.3,13,111,142,58.0,70.3,64.6,68.9,1518
E14001354,Manchester Withington,Jeff Smith,Lab,23.5,56.6,13.3,100.0,0.0,54,0,7.8,-40.0,27.4,48,407,3.9,34.5,28,4894,9087,5,45.5,40622,38,15.6,12,334,3094,64.0,70.2,71.2,74.8,1491
E14001355,Mansfield,Steve Yemm,Lab,38.3,55.4,12.3,100.0,0.0,66,0,9.3,-41.6,22.0,56,466,0.9,24.6,28,380,5285,4,30.8,33869,40,18.9,32,465,1357,47.0,48.5,63.8,70.0,788
E14001356,Melksham and Devizes,Brian Mathew,LD,20.5,52.3,9.2,100.0,0.0,60,0,9.5,-48.9,12.8,50,419,2.1,21.5,51,1371,5100,0,0.0,0,35,10.9,61,2713,27835,54.0,53.0,69.0,75.2,975
E14001357,Melton and Syston,Edward Argar,Con,19.1,55.8,10.2,100.0,0.0,54,0,8.7,-67.9,13.3,29,418,1.7,23.5,43,4592,7628,0,0.0,0,40,7.7,64,1648,13418,52.0,50.6,68.1,74.4,860
E14001358,Meriden and Solihull East,Saqib Bhatti,Con,24.1,53.8,12.4,100.0,0.0,61,0,8.8,-28.8,19.5,268,436,0.9,25.6,35,350,5269,4,33.3,28467,39,15.1,19,398,4234,53.0,51.3,68.1,72.7,1651
E14001359,Mid Bedfordshire,Blake Stephenson,Con,24.2,41.4,8.3,100.0,0.0,60,0,8.6,-27.5,8.9,145,453,0.8,21.0,139,1114,9081,0,0.0,0,40,11.0,17,642,7790,54.0,53.5,66.7,74.0,834
E14001360,Mid Buckinghamshire,Greg Smith,Con,25.6,51.9,9.1,100.0,0.0,62,0,8.3,36.0,7.9,44,438,1.2,19.7,140,815,4096,0,0.0,0,39,14.3,14,1003,15213,55.0,54.4,65.7,75.5,1068
E14001361,Mid Cheshire,Andrew Cooper,Lab,13.2,49.5,9.1,100.0,0.0,57,0,10.2,-57.1,15.4,41,419,1.7,24.4,26,1516,7146,0,0.0,0,38,16.0,47,1082,3761,53.0,52.4,68.0,74.7,1012
E14001362,Mid Derbyshire,Jonathan Davies,Lab,25.1,61.2,9.1,100.0,0.0,55,0,8.8,-55.4,13.9,61,387,1.4,25.9,49,1996,4245,0,0.0,0,39,13.4,54,1214,5969,54.0,54.2,69.9,75.1,1281
E14001363,Mid Dorset and North Poole,Vikki Slade,LD,25.6,54.7,7.8,100.0,0.0,61,0,9.8,-45.7,10.7,52,422,2.3,26.1,424,2868,4163,0,0.0,0,33,18.6,31,527,3801,54.0,54.0,67.9,75.9,1016
E14001364,Mid Leicestershire,Peter Bedford,Con,21.7,56.5,8.1,100.0,0.0,60,0,8.1,-64.6,11.6,90,451,1.8,26.4,113,470,6356,0,0.0,0,40,20.1,41,1000,7023,51.0,53.2,68.4,74.0,1964
E14001365,Mid Norfolk,George Freeman,Con,16.0,57.5,11.3,100.0,0.0,54,0,9.8,-33.2,11.3,82,429,1.7,20.2,140,577,6028,0,0.0,0,39,12.5,16,470,6219,51.0,49.6,69.0,72.0,745
E14001366,Mid Sussex,Alison Bennett,LD,30.3,45.2,8.1,100.0,0.0,59,0,8.3,-44.4,13.2,116,437,1.0,18.7,67,489,5086,0,0.0,0,37,21.5,25,754,5950,56.0,56.5,67.9,76.2,775
E14001367,Middlesbrough and Thornaby East,Andy McDonald,Lab,20.8,57.0,14.0,100.0,0.0,69,0,9.3,-46.7,37.5,108,508,1.5,33.4,28,2949,11449,2,13.3,16183,39,8.9,23,452,1638,50.0,53.4,68.9,67.0,948
E14001368,Middlesbrough South and East Cleveland,Luke Myer,Lab,20.4,49.2,9.5,91.4,0.0,53,0,10.1,-49.4,22.4,34,410,0.8,28.8,350,851,6964,1,7.1,5086,39,15.6,35,874,6341,49.0,54.2,66.1,70.7,822
E14001369,Milton Keynes Central,Emily Darlington,Lab,25.0,29.9,6.1,100.0,0.0,69,0,6.7,-39.8,18.5,402,563,2.3,27.5,70,757,10642,3,20.0,26666,40,14.2,0,0,0,54.0,57.2,67.5,73.0,1748
E14001370,Milton Keynes North,Chris Curtis,Lab,24.9,47.3,8.2,100.0,0.0,62,0,7.8,-34.8,15.1,379,444,1.9,27.5,74,1404,7820,2,15.4,12782,40,8.0,13,689,8703,55.0,55.8,69.5,73.0,1457
E14001371,Mitcham and Morden,Siobhain McDonagh,Lab,35.5,55.8,10.7,100.0,0.0,70,0,6.0,42.2,33.6,370,545,1.9,26.2,40,5432,11014,9,64.3,81645,40,13.2,10,174,342,57.0,63.8,69.3,71.4,935
E14001372,Morecambe and Lunesdale,Lizzi Collinge,Lab,15.5,66.0,12.4,67.7,0.0,42,0,10.6,7.1,17.4,132,434,1.9,27.5,2890,12057,7337,3,21.4,19211,36,6.9,45,1625,9301,52.0,53.9,71.6,71.9,1343
E14001373,New Forest East,Julian Lewis,Con,26.3,57.7,9.4,100.0,0.0,60,0,9.4,-50.6,11.2,105,401,2.6,24.0,2160,2551,4332,0,0.0,0,34,37.4,16,596,7477,53.0,51.2,68.8,75.0,1063
E14001374,New Forest West,Desmond Swayne,Con,26.4,56.1,9.7,100.0,0.0,54,0,10.0,-66.2,12.1,78,372,2.4,24.0,1247,2533,3440,0,0.0,0,34,24.7,10,330,4008,53.0,50.5,66.2,76.0,956
E14001375,Newark,Robert Jenrick,Con,17.3,56.8,11.6,100.0,0.0,62,0,8.5,-49.6,15.3,114,471,2.9,23.6,80,8149,12141,2,18.2,19898,40,6.9,49,1658,17690,51.0,52.3,70.7,73.0,1122
E14001376,Newbury,Lee Dillon,LD,18.9,50.0,8.5,100.0,0.0,59,0,8.4,-65.6,13.8,206,431,2.4,24.2,113,4588,6681,0,0.0,0,37,18.9,8,512,8981,56.0,52.9,67.9,76.0,1564
E14001377,Newcastle upon Tyne Central and West,Chi Onwurah,Lab,28.7,48.6,11.6,100.0,0.0,76,0,7.7,-28.1,41.2,132,585,0.9,29.8,40,462,9937,1,7.1,7530,37,7.8,18,283,660,54.0,57.7,66.1,70.0,1317
E14001378,Newcastle upon Tyne East and Wallsend,Mary Glindon,Lab,30.3,48.5,11.0,100.0,0.0,70,0,9.6,-25.4,40.0,51,505,2.0,29.8,35,295,7518,0,0.0,0,37,10.4,11,373,1072,56.0,60.2,68.0,71.0,1158
E14001379,Newcastle upon Tyne North,Catherine McKinnell,Lab,29.6,50.0,9.5,100.0,0.0,67,0,8.1,-41.6,26.8,80,481,2.2,29.8,27,657,6838,0,0.0,0,37,14.5,11,154,942,55.0,61.2,68.2,71.0,1101
E14001380,Newcastle-under-Lyme,Adam Jogee,Lab,19.4,57.5,17.6,100.0,0.0,59,0,9.4,-72.3,21.3,135,416,0.8,23.8,71,776,5933,3,25.0,25580,37,17.2,34,750,3781,52.0,53.2,70.0,71.2,681
E14001381,Newton Abbot,Martin Wrigley,LD,22.6,56.9,9.3,16.7,0.0,10,0,10.4,-31.0,16.4,61,413,1.0,17.2,80,7373,4435,0,0.0,0,32,19.2,69,1634,10523,54.0,52.0,68.8,75.0,910
E14001382,Newton Aycliffe and Spennymoor,Alan Strickland,Lab,26.9,50.4,11.2,100.0,0.0,62,0,11.2,-60.5,23.4,100,419,0.9,19.5,101,654,6668,0,0.0,0,37,9.6,73,1672,9442,51.0,51.7,69.1,71.4,752
E14001383,Normanton and Hemsworth,Jon Trickett,Lab,22.2,60.0,14.8,100.0,0.0,63,0,11.3,-34.1,21.7,26,457,0.8,23.3,82,958,6252,7,50.0,53607,39,7.4,24,747,4908,47.0,49.5,68.2,69.0,1097
E14001384,North Bedfordshire,Richard Fuller,Con,24.9,43.6,8.6,100.0,0.0,65,0,8.9,-62.7,9.7,80,461,1.5,24.6,75,2117,7612,0,0.0,0,40,9.1,29,974,14029,54.0,53.9,67.9,74.0,970
E14001385,North Cornwall,Ben Maguire,LD,20.3,60.6,12.3,3.6,0.0,2,0,10.1,24.1,12.7,251,440,0.8,17.2,1106,2825,7058,0,0.0,0,36,12.2,76,3279,37207,52.0,49.6,66.3,73.9,973
E14001386,North Cotswolds,Geoffrey Clifton-Brown,Con,19.2,53.5,10.6,100.0,0.0,55,0,8.9,-21.0,9.7,161,417,1.6,21.5,138,1975,6899,0,0.0,0,37,15.9,20,970,13846,55.0,54.1,68.2,75.9,1208
E14001387,North Devon,Ian Roome,LD,17.7,58.2,12.1,15.3,0.0,9,0,10.5,-36.9,17.0,150,441,2.3,22.2,686,7284,6003,1,7.1,6270,35,14.8,70,3183,33040,54.0,52.9,69.5,74.0,930
E14001388,North Dorset,Simon Hoare,Con,22.1,53.9,9.9,100.0,0.0,52,0,9.8,-59.8,10.1,58,411,1.4,21.5,167,2028,4401,0,0.0,0,34,14.2,44,2068,26395,54.0,50.7,68.9,76.0,848
